Species_Code,Common_Name,Scientific_Name,Date,Bird_Count,lat,lng,subId,Notable_Normal,Year,Month,Day,Family_Name,Notable
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 09:45,1.0,31.898838199999997,-109.16225109999999,S73707771,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 08:30,1.0,31.380465,-110.22796100000001,S73667954,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 08:10,1.0,32.252515100000004,-106.8224716,S73674990,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 08:00,1.0,39.99704620000001,-105.1141834,S73690549,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 07:45,1.0,35.084377,-106.6203403,S73675421,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 07:30,4.0,35.6954328,-106.00573909999999,S73665406,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:49,1.0,32.255728000000005,-110.733631,S73665953,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:37,2.0,35.098239,-106.621195,S73699616,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-16 06:17,1.0,32.5567428,-117.0849895,S73672491,1,2020,9,16,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 18:50,1.0,31.9626851,-106.66609879999999,S73651312,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 14:35,2.0,33.7945401,-106.87392709999999,S73651057,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 14:18,1.0,38.752878499999994,-108.0821228,S73641627,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 12:34,1.0,38.5491054,-106.9416825,S73637425,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 10:55,1.0,32.2602256,-106.7233005,S73759219,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:56,1.0,39.0541513,-108.57414720000001,S73637015,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:17,1.0,31.9172001,-109.2790985,S73645715,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:05,1.0,32.373369,-106.833055,S73638865,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 08:00,1.0,44.95731370000001,-116.2246686,S73685649,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:45,1.0,37.770384,-100.01158120000001,S73644857,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:43,5.0,35.245661,-106.67038500000001,S73623906,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:42,1.0,32.261174,-106.723557,S73634090,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:22,1.0,32.2718803,-107.73518349999999,S73625149,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 07:02,1.0,35.892598,-106.06332649999999,S73624169,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 06:54,1.0,35.88890670000001,-106.3039041,S73629662,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 06:27,1.0,31.609460499999997,-110.9072828,S73623885,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-15 06:08,1.0,31.40806,-110.28618999999999,S73638258,1,2020,9,15,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:50,1.0,35.0997114,-106.4901729,S73611639,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:40,2.0,35.166683,-106.608448,S73613688,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:15,1.0,35.2365936,-106.64332150000001,S73612636,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 18:07,1.0,32.8329031,-108.2023307,S73611785,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:51,1.0,31.906998699999995,-104.84845159999999,S73614922,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:50,1.0,40.0615193,-105.19967079999999,S73614101,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:42,1.0,40.228496500000006,-105.2900537,S73611282,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 17:33,1.0,35.233990999999996,-111.6723078,S73610408,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 14:41,1.0,37.002968200000005,-101.8990248,S73645429,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 14:25,1.0,37.166153,-107.293053,S73612788,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 11:58,1.0,45.5397283,-122.61791940000002,S73598747,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 11:40,1.0,43.583185,-116.319601,S73610888,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 10:34,1.0,39.731811900000004,-104.9635506,S73592991,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 10:33,1.0,32.9189081,-112.8944135,S73610802,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 10:15,1.0,31.3804217,-110.2280459,S73597034,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 09:55,2.0,30.538090399999998,-103.8373661,S73590649,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 09:33,2.0,33.322025,-108.875579,S73687789,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 08:30,1.0,43.5885907,-116.148853,S73602342,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 08:15,2.0,32.920078000000004,-107.57048999999999,S73588833,1,2020,9,14,Trochilidae,No
calhum,Calliope Hummingbird,Selasphorus calliope,2020-09-14 08:08,1.0,35.5650743,-106.10243799999999,S73593325,1,2020,9,14,Trochilidae,No
